regiao,ano,mes,avg_temp_ar,p50_temp_ar,p25_temp_ar,p75_temp_ar
North,2018,11,26.8352923064291,26.1,24.2,29.3
North,2018,12,25.67012878756304,24.9,23.5,27.6
Northeast,2009,1,26.499993634546588,26.2,23.7,29.2
Northeast,2009,2,25.85799557951938,25.4,23.3,28.3
Northeast,2009,3,26.215579538955065,25.7,23.6,28.7
Northeast,2009,4,25.35560432649981,24.8,23.2,27.4
Northeast,2009,5,24.4662940130409,24.2,22.6,26.4
Northeast,2009,6,24.058263315554907,23.7,21.5,26.6
Northeast,2009,7,24.0063404415197,23.6,21.1,26.8
Northeast,2009,8,24.595218793182863,24.1,21.4,27.4
Northeast,2009,9,26.251577472747393,25.8,22.9,29.3
Northeast,2009,10,26.653982635822505,26.1,23.6,29.5
Northeast,2009,11,26.96745721900131,26.6,23.9,29.9
Northeast,2009,12,26.79221402214022,26.4,23.9,29.5
Northeast,2010,1,26.32423542143413,26,23.5,29.1
Northeast,2010,2,27.08907895876914,26.8,24.3,29.8
Northeast,2010,3,26.967334080409824,26.5,24.1,29.6
Northeast,2010,4,25.98076747702129,25.6,23.5,28.5
Northeast,2010,5,25.99642988421246,25.6,23.2,28.8
Northeast,2010,6,24.678889273811087,24.3,21.7,27.6
Northeast,2010,7,24.321323862777692,23.9,21,27.2
Northeast,2010,8,24.35125493708092,24,20.5,27.6
Northeast,2010,9,25.612906352074084,25.2,21.9,28.9
Northeast,2010,10,26.96683468094788,26.4,23.6,29.9
Northeast,2010,11,26.979005764731426,26.5,23.8,29.9
Northeast,2010,12,26.384773559584197,26,23.6,29
Northeast,2011,1,25.78690601039409,25.4,23.1,28.3
Northeast,2011,2,25.751382224680658,25.3,23.1,28.2
Northeast,2011,3,25.850730172482585,25.3,23.3,28.3
Northeast,2011,4,25.310853695749124,24.8,22.9,27.7
Northeast,2011,5,24.63125547627989,24.4,22.3,27
Northeast,2011,6,24.190907889837735,23.8,21.2,27
Northeast,2011,7,23.71739227244495,23.4,20.6,26.6
Northeast,2011,8,24.710772367474213,24.3,21.1,27.9
Northeast,2011,9,25.180491919311077,24.9,21.5,28.4
Northeast,2011,10,26.271889326232923,25.8,23.1,29.2
Northeast,2011,11,25.778795236983424,25.4,22.8,28.6
Northeast,2011,12,26.62947017332823,26.2,23.5,29.6
Northeast,2012,1,26.28637947984628,25.9,23.3,29
Northeast,2012,2,25.790278942570648,25.4,22.9,28.5
Northeast,2012,3,26.205023592985093,25.8,23.3,29
Northeast,2012,4,26.390247766728468,26,23.3,29.4
Northeast,2012,5,25.76104050106185,25.3,22.6,28.7
Northeast,2012,6,25.126615956494803,24.7,22,28
Northeast,2012,7,24.51133366061201,24.2,21,27.5
Northeast,2012,8,24.52690479635793,24.2,20.8,27.6
Northeast,2012,9,25.959023413219143,25.5,22.3,29.3
Northeast,2012,10,26.806087794108095,26.2,23.3,30
Northeast,2012,11,26.82715793037296,26.2,23.7,29.6
Northeast,2012,12,27.194237882902517,26.7,24.1,30.2
Northeast,2013,1,26.81674278417523,26.4,24,29.5
Northeast,2013,2,27.129159768996495,26.8,24.1,30
Northeast,2013,3,27.37328490536242,26.9,24.4,30.1
Northeast,2013,4,26.29221542368968,25.8,23.6,28.8
Northeast,2013,5,25.57157807766455,25.2,22.9,28.2
Northeast,2013,6,24.957586862417266,24.5,22.1,27.6
Northeast,2013,7,24.46927026936516,24,21.3,27.3
Northeast,2013,8,25.01596600975525,24.6,21.4,28.1
Northeast,2013,9,26.169606422120637,25.7,22.6,29.3
Northeast,2013,10,26.67366028452241,26.2,23.3,29.8
Northeast,2013,11,26.462899145678463,26,23.4,29.2
Northeast,2013,12,26.417550437802255,25.9,23.5,29
Northeast,2014,1,26.291119478177865,26,23.4,29.1
Northeast,2014,2,25.974928822443268,25.6,23.2,28.5
Northeast,2014,3,26.07914468416492,25.6,23.4,28.6
Northeast,2014,4,25.852397698209717,25.3,23.3,28.5
Northeast,2014,5,25.068552506889453,24.6,22.5,27.6
Northeast,2014,6,24.755578236722965,24.4,21.7,27.6
Northeast,2014,7,24.45387742237004,24,21.2,27.3
Northeast,2014,8,24.726082966030244,24.4,21.1,27.8
Northeast,2014,9,25.900071009118474,25.4,22.4,29.1
Northeast,2014,10,26.41635901551632,26,23,29.5
Northeast,2014,11,26.46093764728061,25.9,23.3,29.4
Northeast,2014,12,26.352551882099807,26,23.4,29.1
Northeast,2015,1,26.73717368234878,26.4,23.6,29.7
Northeast,2015,2,26.427174603174603,26.1,23.5,29.2
Northeast,2015,3,26.363059974078,25.9,23.6,29.1
Northeast,2015,4,26.428323446221626,25.9,23.6,29.2
Northeast,2015,5,25.76863803652491,25.3,22.9,28.5
Northeast,2015,6,24.86765296367113,24.4,21.8,27.6
Northeast,2015,7,24.69969442411145,24.3,21.6,27.5
Northeast,2015,8,24.91799335895745,24.6,21.3,28.1
Northeast,2015,9,26.600894056037955,26.1,23,29.9
Northeast,2015,10,27.39057093053284,26.8,24,30.7
Northeast,2015,11,28.149132845420272,27.5,24.8,31.5
Northeast,2015,12,28.111322774927505,27.6,24.8,31.3
Northeast,2016,1,26.25972249614256,25.8,23.8,28.5
Northeast,2016,2,26.714750976927096,26.5,23.8,29.7
Northeast,2016,3,27.21536202329628,26.8,24.4,30
Northeast,2016,4,26.742245349261353,26.4,24,29.5
Northeast,2016,5,26.102799672935404,25.7,23.1,28.9
Northeast,2016,6,25.33026450095415,24.9,22.1,28.4
Northeast,2016,7,24.7254305303951,24.5,21.1,27.8
Northeast,2016,8,25.5748816361156,25.2,21.8,28.9
Northeast,2016,9,26.490117285370193,26.1,23,29.8
Northeast,2016,10,27.37155086491395,26.8,24,30.6
Northeast,2016,11,27.466404998397948,26.9,24.2,30.6
Northeast,2016,12,27.273708003247823,26.8,24.3,30.1
Northeast,2017,1,27.293606048637365,26.9,24.3,30.2
Northeast,2017,2,26.525272502528377,26.1,23.7,29.1
Northeast,2017,3,26.47724765040668,26,23.8,29
Northeast,2017,4,26.122009071474626,25.6,23.5,28.7
Northeast,2017,5,25.722108248952804,25.2,23,28.3
Northeast,2017,6,24.930060686864973,24.5,21.9,27.7
Northeast,2017,7,23.58978828833856,23.2,20.3,26.4
Northeast,2017,8,24.814386223753896,24.3,21.1,28
Northeast,2017,9,25.31359942913703,24.8,21.5,28.4
Northeast,2017,10,26.989710656011734,26.4,23.5,30.3
Northeast,2017,11,26.92040728969362,26.4,23.7,29.9
Northeast,2017,12,27.217477618573938,26.7,24.1,30.1
Northeast,2018,1,26.76980243672225,26.4,23.8,29.6
Northeast,2018,2,26.063676703645008,25.6,23.5,28.5
Northeast,2018,3,26.309808189966347,25.9,23.7,28.9
Northeast,2018,4,25.192243712237527,24.7,22.7,27.6
Northeast,2018,5,24.98758331022726,24.6,22.2,27.7
Northeast,2018,6,24.376042389042997,24,21.2,27.3
Northeast,2018,7,24.213814001248313,23.9,20.8,27.2
Northeast,2018,8,25.32072607005396,25,21.8,28.5
Northeast,2018,9,26.473484180133937,26,22.9,29.8
Northeast,2018,10,27.308468558377875,26.7,24,30.4
Northeast,2018,11,27.13222038911132,26.7,24.1,30
Northeast,2018,12,26.220690961663095,25.9,23.4,29
South,2009,1,21.784540158135663,21.6,18.9,24.6
South,2009,2,22.876385362511588,22.6,20.1,25.5
South,2009,3,22.36906565426105,22.2,19.4,25.2
South,2009,4,19.918060496546012,19.7,16.4,23.2
South,2009,5,16.927628660159716,17,13.7,20.2
South,2009,6,12.448142708884058,12.6,9,15.9
South,2009,7,12.26301538936244,12.5,9,15.7
South,2009,8,15.973489850356607,15.6,12.1,19.3
South,2009,9,16.350905839817653,16.4,13.3,19.2
