regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;CE;85-89;34802;46402;50015;51596;51964;51677;51122;50500;49858;49628;50312;52061;54708
NE;CE;90;14390;25239;23948;24545;25945;27516;28903;30098;31153;32015;32676;33158;33554
NE;RN;0-4;283000;257447;253075;250871;248087;245281;244856;243487;241206;240597;239675;237720;236998
NE;RN;5-9;301987;271026;268575;265682;263088;261328;257170;252822;250635;247866;245076;244661;243302
NE;RN;10-14;294275;297645;293729;287831;281573;275585;271863;269405;266508;263910;262143;257979;253627
NE;RN;15-19;301399;301247;299945;299954;300456;300053;297914;294007;288126;281887;275916;272210;269763
NE;RN;20-24;312879;313696;312524;309425;305304;301610;299216;297961;298005;298542;298175;296079;292227
NE;RN;25-29;299331;291968;297518;302631;306842;309482;310193;309094;306084;302056;298449;296133;294941
NE;RN;30-34;252710;256474;263460;270465;277324;283866;289919;295461;300576;304789;307453;308197;307148
NE;RN;35-39;223270;226686;230487;235591;241725;248377;255189;262133;269095;275919;282425;288451;293966
NE;RN;40-44;212054;217993;219717;220534;221093;222351;224912;228699;233770;239860;246461;253221;260115
NE;RN;45-49;186127;193564;199918;205207;209460;212787;215328;217070;217917;218515;219799;222363;226131
NE;RN;50-54;139087;148307;156376;165173;174151;182530;189809;196051;201266;205473;208774;211310;213068
NE;RN;55-59;110994;116423;119802;124344;129961;136447;143617;151455;160007;168732;176889;183984;190081
NE;RN;60-64;95822;105038;106955;107613;107757;108547;110681;113982;118372;123787;130034;136938;144479
NE;RN;65-69;70412;77122;80604;85241;90291;94607;97582;99434;100137;100373;101207;103294;106465
NE;RN;70-74;55869;63081;64589;65290;65776;66928;69200;72424;76680;81298;85256;88004;89744
NE;RN;75-79;36579;40963;42734;45392;48408;51062;52992;54333;55017;55544;56651;58711;61580
NE;RN;80-84;28013;31675;30928;30190;29736;29884;30749;32235;34376;36769;38871;40416;41519
NE;RN;85-89;15130;18609;19891;20372;20380;20149;19831;19497;19166;19017;19262;19969;21075
NE;RN;90;7321;10975;10588;10914;11540;12210;12793;13293;13726;14076;14337;14525;14674
NE;PB;0-4;341344;303657;295247;285576;276344;272544;273406;274551;279039;285497;287281;285840;285354
NE;PB;5-9;351954;331357;326247;320194;314849;309582;302377;294034;284421;275237;271466;272351;273522
NE;PB;10-14;340632;353484;351124;347345;342146;336416;331663;326563;320520;315189;309930;302737;294405
NE;PB;15-19;348437;357823;356384;355034;353597;351788;349438;347162;343479;338372;332740;328079;323079
NE;PB;20-24;360843;351260;349442;347641;345922;344382;343071;341899;340811;339636;338089;336002;333990
NE;PB;25-29;354727;332027;333764;334808;335141;334734;333592;332098;330610;329206;327971;326968;326092
NE;PB;30-34;298492;301837;307429;312099;315912;319053;321615;323526;324757;325278;325065;324118;322824
NE;PB;35-39;252813;263842;269112;275710;283070;290259;296659;302288;307002;310876;314086;316726;318717
NE;PB;40-44;235046;247119;249904;251792;253475;255997;259990;265262;271845;279175;286336;292722;298352
NE;PB;45-49;205165;217342;223584;229194;234120;238333;241882;244713;246669;248422;251000;255016;260288
NE;PB;50-54;162662;174559;180976;188390;196285;203894;210721;216889;222454;227364;231583;235156;238023
NE;PB;55-59;138607;148897;151394;154277;157758;162106;167448;173710;180928;188610;196023;202693;208749
NE;PB;60-64;118163;131551;133970;135628;136900;138371;140413;142909;145763;149179;153421;158602;164653
NE;PB;65-69;92468;102733;105396;109180;113498;117442;120509;122884;124574;125922;127446;129497;131963
NE;PB;70-74;75347;86589;87868;88043;87819;88228;89814;92360;95884;99869;103523;106400;108672
NE;PB;75-79;47866;55763;58017;61377;65111;68244;70311;71527;71869;71904;72475;74019;76353
NE;PB;80-84;34636;41412;40314;39295;38695;38898;40020;41915;44599;47537;50013;51693;52755
NE;PB;85-89;18150;24263;25429;25723;25528;25103;24616;24159;23742;23583;23925;24843;26242
NE;PB;90;8246;15281;14212;14067;14324;14685;14992;15244;15471;15640;15754;15815;15872
NE;PE;0-4;799967;739400;728511;723438;717332;711441;711996;707090;697893;694838;691348;684784;683032
NE;PE;5-9;850568;785823;772882;762464;753334;744903;733707;722988;718060;712099;706341;707015;702236
NE;PE;10-14;828381;846908;841653;828166;812259;796733;782940;770095;759764;750711;742361;731246;720601
